Date,Open,High,Low,Close,Adj Close,Volume
2022-11-14,27.260000,28.180000,27.090000,27.700001,19.501467,66639500
2022-11-16,27.809999,28.110001,26.930000,27.150000,19.114254,85549900
2022-11-17,27.000000,27.299999,26.549999,27.160000,19.121294,101525800
2022-11-18,27.400000,27.600000,26.219999,26.700001,18.797441,127683500
2022-11-21,27.120001,27.570000,26.049999,26.780001,18.853764,164898100
2022-11-22,23.000000,23.430000,22.299999,23.330000,18.772415,164261300
2022-11-23,23.000000,23.650000,22.799999,23.440001,18.860926,77317300
2022-11-24,23.520000,24.629999,23.250000,24.250000,19.512690,94233800
2022-11-25,24.260000,24.330000,23.600000,23.860001,19.198875,58635900
2022-11-28,23.650000,24.549999,23.540001,24.360001,19.601200,56067400
2022-11-29,24.600000,25.879999,24.480000,25.379999,20.421940,96151500
2022-11-30,25.600000,26.660000,25.500000,26.660000,21.451889,120774700
2022-12-01,26.580000,26.790001,25.559999,25.590000,20.590918,71259400
2022-12-02,25.690001,26.450001,25.309999,25.910000,20.848404,66301000
2022-12-05,26.000000,26.580000,25.549999,25.620001,20.615055,56065400
2022-12-06,25.820000,26.389999,25.420000,25.639999,20.631147,74991200
2022-12-07,25.340000,26.070000,25.270000,25.350000,20.397800,57008400
2022-12-08,25.549999,25.790001,24.639999,24.780001,19.939152,55567700
2022-12-09,24.990000,25.049999,24.490000,24.709999,19.882826,61586200
2022-12-12,24.580000,24.660000,23.129999,23.910000,19.239109,111293100
2022-12-13,24.100000,24.200001,23.309999,23.320000,18.764366,102533100
2022-12-14,22.500000,22.600000,20.770000,21.469999,17.275768,319501600
2022-12-15,21.000000,22.370001,20.830000,22.040001,17.734419,132385600
2022-12-16,21.959999,22.110001,21.510000,22.049999,17.742466,90767300
2022-12-19,22.100000,22.510000,21.639999,22.379999,18.007999,63074100
2022-12-20,22.389999,23.240000,22.209999,23.070000,18.563206,71875500
2022-12-21,23.500000,23.719999,22.850000,23.570000,18.965528,74252800
2022-12-22,23.900000,24.559999,23.700001,23.990000,19.303480,81894800
2022-12-23,24.129999,25.219999,24.129999,25.120001,20.212734,68387900
2022-12-26,25.120001,25.299999,24.820000,24.940001,20.067896,28765200
2022-12-27,25.250000,25.309999,24.549999,25.110001,20.204685,50803200
2022-12-28,25.100000,25.320000,24.750000,24.799999,19.955244,57293500
2022-12-29,24.990000,25.049999,24.430000,24.500000,19.713852,57901800
2023-01-02,23.540001,23.809999,22.799999,22.920000,18.442507,78424700
2023-01-03,22.940001,23.100000,22.129999,22.340000,17.975815,96750300
2023-01-04,21.959999,23.590000,21.830000,23.049999,18.547113,129504000
2023-01-05,23.340000,24.040001,23.150000,23.879999,19.214970,73886000
2023-01-06,23.940001,24.320000,23.549999,23.740000,19.102320,51851500
2023-01-09,23.500000,24.000000,23.250000,23.870001,19.206924,46385200
2023-01-10,23.950001,24.110001,23.370001,24.090000,19.383945,52741100
2023-01-11,24.150000,24.620001,24.049999,24.280001,19.536831,53536500
2023-01-12,24.290001,24.650000,24.110001,24.629999,19.818455,58130000
2023-01-13,24.440001,24.660000,24.250000,24.570000,19.770176,40002700
2023-01-16,24.410000,24.500000,23.830000,24.040001,19.343714,31973700
2023-01-17,24.110001,25.620001,24.110001,25.520000,20.534592,91797500
2023-01-18,25.840000,26.030001,25.000000,25.070000,20.172501,69692900
2023-01-19,25.000000,25.950001,24.790001,25.889999,20.832310,75553300
2023-01-20,25.889999,26.600000,25.420000,26.370001,21.218540,114219500
2023-01-23,26.270000,27.600000,26.129999,26.790001,21.556494,87678100
2023-01-24,27.469999,27.530001,26.370001,26.600000,21.403610,65794000
2023-01-25,26.549999,27.080000,26.010000,26.940001,21.677189,51832900
2023-01-26,27.090000,27.200001,25.799999,26.250000,21.121984,73344800
2023-01-27,26.180000,26.230000,25.440001,25.620001,20.615055,47681900
2023-01-30,25.850000,26.070000,25.510000,25.750000,20.719660,40683200
2023-01-31,25.629999,26.209999,25.520000,26.070000,20.977146,54048900
2023-02-01,26.070000,26.480000,25.450001,25.709999,20.687471,56349200
2023-02-02,25.510000,25.809999,24.420000,24.520000,19.729942,83823000
2023-02-03,24.540001,25.379999,24.420000,24.790001,19.947199,71170700
2023-02-06,24.870001,25.870001,24.750000,25.780001,20.743801,82794500
2023-02-07,25.910000,26.139999,25.459999,25.620001,20.615055,55311800
2023-02-08,25.799999,26.150000,25.559999,26.049999,20.961054,48713100
2023-02-09,26.049999,26.320000,25.790001,25.930000,20.864494,38198300
2023-02-10,25.980000,26.790001,25.930000,26.719999,21.500166,54683100
2023-02-13,26.690001,26.889999,26.370001,26.799999,21.564539,36726900
2023-02-14,26.850000,27.059999,26.600000,26.700001,21.484076,35839000
2023-02-15,26.580000,26.799999,26.299999,26.740000,21.516260,72554100
2023-02-16,26.600000,26.950001,26.490000,26.850000,21.604773,44115700
2023-02-17,26.670000,26.670000,26.370001,26.440001,21.274868,61085700
2023-02-22,26.000000,26.110001,25.690001,25.760000,20.727705,38608500
2023-02-23,25.770000,26.790001,25.770000,26.549999,21.363375,73913400
2023-02-24,26.670000,26.700001,25.870001,25.900000,20.840355,64409100
2023-02-27,25.840000,26.740000,25.809999,26.150000,21.041517,76250600
2023-02-28,26.209999,26.920000,25.240000,25.240000,20.309288,130248100
2023-03-01,25.309999,25.430000,24.190001,25.299999,20.357569,109257700
2023-03-02,25.420000,25.670000,24.370001,24.639999,19.826502,124516200
2023-03-03,24.830000,25.740000,24.450001,25.700001,20.679428,87591800
2023-03-06,25.700001,26.120001,25.370001,25.959999,20.888634,50227400
2023-03-07,25.719999,25.780001,24.930000,25.100000,20.196640,59052500
2023-03-08,25.150000,25.920000,25.129999,25.420000,20.454126,66220400
2023-03-09,25.350000,26.230000,25.280001,25.309999,20.365614,68042300
2023-03-10,25.160000,25.580000,24.940001,24.980000,20.100080,48118600
2023-03-13,24.549999,24.860001,24.100000,24.190001,19.464411,58605500
2023-03-14,24.280001,24.730000,23.600000,23.760000,19.118412,58916700
2023-03-15,23.330000,23.480000,22.799999,23.340000,18.780460,93708800
2023-03-16,23.400000,23.520000,22.969999,23.260000,18.716089,66821000
2023-03-17,23.100000,23.510000,22.860001,23.510000,18.917250,93502700
2023-03-20,23.510000,23.650000,22.889999,22.930000,18.450556,57575200
2023-03-21,23.200001,23.600000,23.080000,23.400000,18.828739,43391200
2023-03-22,23.389999,23.620001,23.040001,23.330000,18.772415,46435600
2023-03-23,23.370001,23.670000,22.590000,22.799999,18.345951,74711200
2023-03-24,22.709999,23.129999,22.480000,22.790001,18.337904,52556800
2023-03-27,23.110001,23.360001,22.830000,23.180000,18.651718,39148700
2023-03-28,23.219999,23.639999,23.150000,23.590000,18.981623,29091100
2023-03-29,23.709999,24.040001,23.469999,23.900000,19.231062,49148600
2023-03-30,24.250000,24.280001,23.680000,23.969999,19.287388,56116900
2023-03-31,24.000000,24.219999,23.209999,23.450001,18.868971,59547800
2023-04-03,24.090000,24.500000,23.799999,24.490000,19.705803,73931200
2023-04-04,24.629999,24.760000,24.100000,24.270000,19.528782,57505700
2023-04-05,24.190001,24.530001,23.270000,24.350000,19.593153,93626400
2023-04-06,24.340000,24.420000,23.950001,24.000000,19.311527,29565400
2023-04-10,24.030001,24.660000,24.030001,24.510000,19.721897,41455900
2023-04-11,24.700001,25.700001,24.629999,25.660000,20.647242,80565000
2023-04-12,25.980000,26.150000,25.180000,25.850000,20.800125,71563400
2023-04-13,25.850000,26.090000,25.799999,26.030001,20.944962,38852800
2023-04-14,25.799999,26.400000,25.719999,26.299999,21.162214,38421100
2023-04-17,26.240000,26.799999,26.209999,26.709999,21.492121,49427100
2023-04-18,26.709999,27.620001,26.520000,27.389999,22.039280,99478800
2023-04-19,27.160000,27.309999,26.450001,26.510000,21.331192,73217800
2023-04-20,26.520000,26.980000,26.290001,26.690001,21.476028,54738400
2023-04-24,26.600000,27.260000,26.500000,27.200001,21.886398,43820900
2023-04-25,27.160000,27.500000,26.719999,27.090000,21.797886,53854100
2023-04-26,27.120001,27.219999,26.750000,26.750000,21.524305,40249400
2023-04-27,26.850000,27.180000,25.910000,26.100000,21.001286,115632700
2023-04-28,23.600000,24.049999,23.150000,23.700001,21.426649,81138500
2023-05-02,23.700001,23.740000,22.639999,22.740000,20.558735,67911100
2023-05-03,22.600000,22.990000,22.420000,22.660000,20.486406,51133700
2023-05-04,22.889999,23.379999,22.610001,23.020000,20.811876,57854400
2023-05-05,23.299999,24.170000,23.180000,24.000000,21.697872,83365200
2023-05-08,24.450001,24.629999,24.209999,24.510000,22.158951,59352300
2023-05-09,24.410000,24.799999,24.240000,24.590000,22.231279,33978200
2023-05-10,24.590000,24.820000,24.330000,24.530001,22.177034,41500700
2023-05-11,24.129999,25.480000,23.930000,25.430000,22.990704,136878100
2023-05-12,25.580000,26.740000,25.480000,26.250000,23.732048,117237500
2023-05-15,26.059999,26.150000,25.400000,25.660000,23.198641,81996700
2023-05-16,26.110001,27.030001,26.080000,26.299999,23.777250,117782700
2023-05-17,26.600000,26.760000,25.510000,25.660000,23.198641,107129200
2023-05-18,25.590000,25.850000,25.350000,25.809999,23.334253,63010500
2023-05-19,26.080000,26.180000,25.639999,25.770000,23.298090,69245500
2023-05-22,25.879999,26.010000,25.500000,25.620001,23.162477,38010200
2023-05-23,25.650000,26.430000,25.520000,26.250000,23.732048,58285300
2023-05-24,26.250000,26.900000,26.049999,26.650000,24.093678,54796400
2023-05-25,26.799999,26.840000,26.190001,26.450001,23.912865,49182700
2023-05-26,26.809999,26.910000,26.530001,26.799999,24.229290,39866600
2023-05-29,26.750000,26.820000,26.559999,26.690001,24.129843,17977100
2023-05-30,26.719999,26.799999,26.260000,26.389999,23.858618,45736700
2023-05-31,26.270000,26.360001,25.870001,26.120001,23.614517,49207600
2023-06-01,26.299999,27.000000,26.160000,26.959999,24.373941,63148200
2023-06-02,27.430000,27.600000,27.110001,27.180000,24.572840,39919300
2023-06-05,27.540001,27.559999,27.230000,27.469999,24.835022,39321700
2023-06-06,27.450001,28.250000,27.209999,28.049999,25.359386,75426600
2023-06-07,28.650000,29.059999,28.430000,28.870001,26.100733,82330400
2023-06-09,29.100000,30.389999,29.020000,30.280001,27.375483,80442400
2023-06-12,30.219999,30.990000,30.040001,30.809999,27.854643,119350400
2023-06-13,29.240000,29.240000,28.590000,28.860001,27.800291,79174900
2023-06-14,28.940001,30.100000,28.879999,30.100000,28.994759,98326000
2023-06-15,30.200001,30.850000,29.280001,29.389999,28.310829,120579500
2023-06-16,29.230000,29.920000,29.040001,29.639999,28.551649,94572000
2023-06-19,29.629999,30.459999,29.549999,30.420000,29.303009,34573900
2023-06-20,30.299999,30.750000,29.900000,30.570000,29.447500,55605300
2023-06-21,30.930000,32.000000,30.850000,31.850000,30.680502,89294300
2023-06-22,31.459999,31.690001,31.080000,31.450001,30.295189,43455800
2023-06-23,31.200001,31.280001,29.889999,30.160000,29.052555,76023400
2023-06-26,30.120001,31.049999,30.120001,30.840000,29.707588,53635000
2023-06-27,30.930000,31.200001,30.340000,30.600000,29.476400,48399600
2023-06-28,30.580000,31.180000,30.549999,30.889999,29.755751,36794600
2023-06-29,31.000000,31.120001,30.760000,31.030001,29.890612,32071800
2023-06-30,31.000000,31.080000,29.320000,29.530001,28.445690,104262900
2023-07-03,29.719999,30.180000,29.719999,30.080000,28.975494,31266900
2023-07-04,29.959999,30.389999,29.959999,30.150000,29.042923,18308000
2023-07-05,30.160000,30.549999,29.660000,30.110001,29.004393,53585500
2023-07-06,29.850000,30.000000,29.150000,29.650000,28.561283,47685700
2023-07-07,29.760000,30.200001,29.360001,29.500000,28.416790,55533500
2023-07-10,29.110001,29.670000,29.010000,29.549999,28.464954,25590200
2023-07-11,29.530001,29.530001,29.000000,29.150000,28.079641,40877000
2023-07-12,29.200001,29.770000,29.139999,29.170000,28.098907,40181800
2023-07-13,29.070000,29.719999,29.040001,29.629999,28.542017,35886500
